CURSO_ACADEMICO;LOCALIDAD;TIPO_CENTRO;CENTRO;ESTUDIO;TIPO_ESTUDIO;NOMBRE_CCAA_ALUMNO;SEXO;MOVILIDAD_SALIDA;DEDICACION;ALUMNOS_MATRICULADOS;FECHA_ACTUALIZACION
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Andalucía;Mujeres;No;Tiempo Completo;1;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Aragón;Hombres;No;Otra dedicación;2;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Aragón;Hombres;No;Tiempo Completo;44;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Aragón;Hombres;Sí;Tiempo Completo;1;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Aragón;Hombres;No;Tiempo Parcial;7;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Aragón;Mujeres;No;Tiempo Completo;54;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Aragón;Mujeres;No;Tiempo Parcial;3;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Castilla y Leon;Mujeres;No;Tiempo Completo;2;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Catalunya;Hombres;No;Tiempo Completo;1;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Catalunya;Mujeres;No;Tiempo Completo;2;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Comunidad Valenciana;Hombres;No;Tiempo Completo;2;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Comunidad Valenciana;Mujeres;No;Tiempo Completo;1;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;La Rioja;Mujeres;No;Tiempo Completo;1;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Madrid;Mujeres;No;Tiempo Completo;1;15/09/2024
2024;Almunia de Doña Godina (La);Centro adscrito;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Grado: Arquitectura Técnica;Grado;Navarra;Hombres;No;Tiempo Completo;8;15/09/2024
